timestamp,x_accel,y_accel,z_accel,current_A
91645.856757,0.047574,-0.468751,0.052718,1.935484
91645.866888,0.028414,-0.440011,0.043138,1.935484
91645.876959,0.033204,-0.444801,0.038348,1.955034
91645.886915,0.071524,-0.449591,0.057508,1.955034
91645.897043,0.047574,-0.420851,0.052718,1.935484
91645.907449,0.037994,-0.459171,0.057508,1.935484
91645.917379,0.028414,-0.430431,0.043138,1.935484
91645.927626,0.042784,-0.435221,0.028768,1.955034
91645.937444,0.066734,-0.473541,0.047928,1.974585
91645.947824,0.037994,-0.444801,0.057508,1.955034
91645.957758,0.042784,-0.435221,0.047928,1.955034
91645.967754,0.028414,-0.444801,0.038348,1.955034
91645.977813,0.061944,-0.468751,0.047928,1.935484
91645.987852,0.047574,-0.420851,0.057508,1.955034
91645.998028,0.023624,-0.449591,0.057508,1.974585
91646.008161,0.037994,-0.449591,0.047928,1.974585
91646.018169,0.037994,-0.449591,0.019188,1.974585
91646.028285,0.061944,-0.478331,0.052718,1.974585
91646.038381,0.042784,-0.396900,0.062298,1.955034
91646.048471,0.052364,-0.435221,0.047928,1.955034
91646.058561,0.028414,-0.416061,0.038348,1.955034
91646.068667,0.057154,-0.440011,0.028768,1.974585
91646.078739,0.071524,-0.459171,0.052718,1.974585
91646.088789,0.023624,-0.435221,0.057508,1.974585
91646.098970,0.028414,-0.459171,0.052718,1.994135
91646.109037,0.042784,-0.463961,0.023978,1.994135
91646.119202,0.071524,-0.473541,0.047928,1.994135
91646.129518,0.047574,-0.396900,0.071878,1.994135
91646.139520,0.042784,-0.416061,0.057508,1.974585
91646.149537,0.037994,-0.411271,0.043138,1.994135
91646.159595,0.061944,-0.463961,0.028768,1.974585
91646.169566,0.066734,-0.444801,0.057508,1.974585
91646.179666,0.014044,-0.440011,0.062298,1.974585
91646.189909,0.018834,-0.440011,0.043138,1.974585
91646.200211,0.033204,-0.468751,0.033558,1.994135
91646.210078,0.071524,-0.463961,0.047928,1.994135
91646.220254,0.023624,-0.430431,0.062298,1.994135
91646.230139,0.023624,-0.425641,0.052718,1.994135
91646.240281,0.037994,-0.435221,0.038348,2.013685
91646.250521,0.071524,-0.478331,0.043138,2.013685
91646.260546,0.047574,-0.416061,0.071878,2.013685
91646.270601,0.023624,-0.425641,0.057508,2.013685
91646.280701,0.033204,-0.401691,0.023978,2.013685
91646.290881,0.085894,-0.473541,0.028768,2.013685
91646.300918,0.071524,-0.420851,0.062298,2.013685
91646.311043,0.018834,-0.416061,0.062298,2.013685
91646.322884,0.052364,-0.468751,0.014398,2.013685
91646.331164,0.090684,-0.487911,0.028768,2.033236
91646.341281,0.071524,-0.425641,0.057508,2.013685
91646.351318,0.018834,-0.416061,0.057508,2.033236
91646.361347,0.037994,-0.416061,0.038348,2.033236
91646.371503,0.071524,-0.487911,0.033558,2.013685
91646.381507,0.071524,-0.430431,0.062298,2.033236
91646.391817,0.033204,-0.406481,0.071878,2.033236
91646.401922,0.028414,-0.406481,0.033558,2.033236
91646.413714,0.076314,-0.478331,0.033558,2.033236
91646.422091,0.085894,-0.425641,0.052718,2.033236
91646.432166,0.018834,-0.406481,0.071878,2.033236
91646.442238,0.018834,-0.396900,0.043138,2.013685
91646.452221,0.090684,-0.502281,0.038348,2.013685
91646.462290,0.076314,-0.420851,0.062298,2.013685
91646.472431,0.004464,-0.401691,0.062298,2.013685
91646.482654,0.076314,-0.468751,0.009608,2.013685
91646.492712,0.095474,-0.459171,0.047928,2.013685
91646.502741,0.004464,-0.411271,0.076668,2.013685
91646.512796,0.018834,-0.372950,0.038348,2.033236
91646.522823,0.100264,-0.487911,0.023978,2.033236
91646.532962,0.090684,-0.435221,0.052718,2.033236
91646.543547,-0.005116,-0.392110,0.071878,2.033236
91646.553162,0.018834,-0.406481,0.019188,2.052786
91646.563266,0.105055,-0.483121,0.038348,2.033236
91646.573338,0.047574,-0.430431,0.071878,2.033236
91646.583387,-0.014696,-0.396900,0.076668,2.033236
91646.593537,0.042784,-0.473541,0.009608,2.013685
91646.603710,0.085894,-0.483121,0.038348,1.994135
91646.613698,0.018834,-0.449591,0.076668,2.033236
91646.623951,-0.009906,-0.368160,0.047928,2.033236
91646.634006,0.081104,-0.521441,0.019188,2.033236
91646.644199,0.095474,-0.425641,0.052718,2.052786
91646.654065,0.014044,-0.372950,0.071878,2.052786
91646.664420,0.018834,-0.411271,0.023978,2.033236
91646.674471,0.090684,-0.511861,0.014398,2.033236
91646.684669,0.047574,-0.459171,0.067088,2.033236
91646.694536,-0.019486,-0.372950,0.067088,2.033236
91646.704966,0.071524,-0.502281,0.019188,2.033236
91646.714821,0.119425,-0.468751,0.052718,2.052786
91646.724831,0.009254,-0.349000,0.081458,2.052786
91646.734982,-0.009906,-0.440011,0.038348,2.033236
91646.744968,0.109845,-0.516651,0.014398,2.033236
91646.755089,0.052364,-0.430431,0.062298,2.013685
91646.765285,-0.033857,-0.392110,0.062298,2.013685
91646.776955,0.076314,-0.459171,0.014398,2.033236
91646.785357,0.132083,-0.468751,0.052715,2.013685
91646.795447,-0.006829,-0.358580,0.086245,1.994135
91646.805529,-0.002039,-0.425641,0.023975,1.994135
91646.815760,0.112922,-0.516651,0.023975,1.974585
91646.825699,0.041072,-0.444801,0.062295,1.955034
91646.835767,-0.040359,-0.339420,0.067085,1.955034
91646.845851,0.103342,-0.507071,0.009605,1.955034
91646.856003,0.108132,-0.473541,0.052715,1.955034
91646.866031,-0.049939,-0.325050,0.086245,1.935484
91646.876085,0.026702,-0.463961,0.028765,1.955034
91646.886206,0.127293,-0.531022,0.043135,1.955034
91646.896455,0.002752,-0.382530,0.081455,1.935484
91646.906403,-0.011619,-0.416061,0.033555,1.935484
91646.916484,0.098552,-0.511861,0.023975,1.935484
91646.926753,0.060232,-0.444801,0.062295,1.935484
91646.936721,-0.040359,-0.349000,0.071875,1.935484
