timestamp,x_accel,y_accel,z_accel,current_A
91843.059898,0.019160,-0.407153,0.047900,1.818182
91843.069950,0.019160,-0.426313,0.038320,1.837732
91843.080002,0.038320,-0.421523,0.038320,1.818182
91843.090114,0.028740,-0.416733,0.043110,1.837732
91843.100283,0.023950,-0.431104,0.047900,1.818182
91843.110306,0.019160,-0.435894,0.047900,1.837732
91843.120378,0.033530,-0.416733,0.052690,1.798631
91843.130479,0.014370,-0.431104,0.052690,1.837732
91843.140597,0.019160,-0.416733,0.047900,1.798631
91843.167872,0.044496,-0.446513,0.047934,1.837732
91843.180950,0.063656,-0.451303,0.047934,1.798631
91843.191030,0.044496,-0.456093,0.047934,1.818182
91843.201359,0.039706,-0.446513,0.057514,1.798631
91843.211581,0.049286,-0.441723,0.047934,1.818182
91843.221488,0.049286,-0.422563,0.043144,1.779081
91843.231502,0.034916,-0.436933,0.052724,1.837732
91843.241722,0.073236,-0.451303,0.043144,1.798631
91843.251846,0.044496,-0.427353,0.057514,1.818182
91843.261877,0.034916,-0.451303,0.052724,1.798631
91843.271890,0.049286,-0.451303,0.047934,1.818182
91843.282148,0.039706,-0.436933,0.038354,1.798631
91843.291941,0.034916,-0.427353,0.043144,1.818182
91843.302163,0.044496,-0.451303,0.043144,1.818182
91843.312132,0.049286,-0.446513,0.043144,1.798631
91843.322321,0.044496,-0.436933,0.047934,1.818182
91843.332518,0.058866,-0.441723,0.052724,1.798631
91843.342600,0.049286,-0.451303,0.047934,1.837732
91843.352635,0.039706,-0.460883,0.047934,1.798631
91843.362844,0.030126,-0.384243,0.047934,1.818182
91843.372785,0.049286,-0.451303,0.043144,1.818182
91843.383111,0.054076,-0.441723,0.047934,1.818182
91843.393187,0.049286,-0.432143,0.047934,1.837732
91843.403243,0.058866,-0.432143,0.047934,1.798631
91843.413437,0.049286,-0.451303,0.038354,1.837732
91843.423325,0.039706,-0.451303,0.057514,1.818182
91843.433600,0.030126,-0.412983,0.052724,1.837732
91843.443752,0.039706,-0.451303,0.038354,1.837732
91843.453931,0.063656,-0.456093,0.047934,1.818182
91843.463757,0.054076,-0.432143,0.043144,1.857283
91843.473833,0.044496,-0.436933,0.047934,1.818182
91843.483741,0.039706,-0.427353,0.047934,1.837732
91843.493826,0.030126,-0.451303,0.052724,1.857283
91843.503978,0.030126,-0.441723,0.052724,1.818182
91843.514013,0.049286,-0.451303,0.033564,1.857283
91843.524136,0.054076,-0.456093,0.047934,1.857283
91843.534380,0.049286,-0.427353,0.047934,1.837732
91843.544454,0.049286,-0.470463,0.043144,1.876833
91843.554569,0.039706,-0.456093,0.052724,1.857283
91843.564695,0.020546,-0.384243,0.047934,1.837732
91843.574774,0.034916,-0.456093,0.033564,1.876833
91843.584740,0.063656,-0.460883,0.033564,1.857283
91843.594950,0.054076,-0.427353,0.047934,1.857283
91843.604865,0.039706,-0.456093,0.052724,1.876833
91843.615087,0.049286,-0.446513,0.047934,1.857283
91843.625077,0.030126,-0.412983,0.047934,1.857283
91843.635171,0.030126,-0.451303,0.038354,1.896383
91843.645373,0.058866,-0.451303,0.033564,1.876833
91843.655563,0.063656,-0.427353,0.052724,1.876833
91843.665426,0.044496,-0.460883,0.057514,1.876833
91843.675696,0.034916,-0.441723,0.043144,1.896383
91843.685603,0.025336,-0.379452,0.047934,1.857283
91843.695688,0.049286,-0.451303,0.043144,1.876833
91843.705818,0.054076,-0.456093,0.038354,1.896383
91843.715913,0.058866,-0.422563,0.047934,1.876833
91843.726007,0.058866,-0.451303,0.052724,1.876833
91843.736135,0.030126,-0.446513,0.047934,1.915934
91843.746295,0.025336,-0.412983,0.047934,1.896383
91843.756327,0.049286,-0.451303,0.047934,1.896383
91843.766451,0.049286,-0.460883,0.043144,1.896383
91843.776565,0.044496,-0.436933,0.047934,1.915934
