timestamp,x_accel,y_accel,z_accel,current_A
91645.85676,0.047574,-0.468751,0.052718,1.935484
91645.86689,0.028414,-0.440011,0.043138,1.935484
91645.87696,0.033204,-0.444801,0.038348,1.955034
91645.88692,0.071524,-0.449591,0.057508,1.955034
91645.89704,0.047574,-0.420851,0.052718,1.935484
91645.90745,0.037994,-0.459171,0.057508,1.935484
91645.91738,0.028414,-0.430431,0.043138,1.935484
91645.92763,0.042784,-0.435221,0.028768,1.955034
91645.93744,0.066734,-0.473541,0.047928,1.974585
91645.94782,0.037994,-0.444801,0.057508,1.955034
91645.95776,0.042784,-0.435221,0.047928,1.955034
91645.96775,0.028414,-0.444801,0.038348,1.955034
91645.97781,0.061944,-0.468751,0.047928,1.935484
91645.98785,0.047574,-0.420851,0.057508,1.955034
91645.99803,0.023624,-0.449591,0.057508,1.974585
91646.00816,0.037994,-0.449591,0.047928,1.974585
91646.01817,0.037994,-0.449591,0.019188,1.974585
91646.02829,0.061944,-0.478331,0.052718,1.974585
91646.03838,0.042784,-0.3969,0.062298,1.955034
91646.04847,0.052364,-0.435221,0.047928,1.955034
91646.05856,0.028414,-0.416061,0.038348,1.955034
91646.06867,0.057154,-0.440011,0.028768,1.974585
91646.07874,0.071524,-0.459171,0.052718,1.974585
91646.08879,0.023624,-0.435221,0.057508,1.974585
91646.09897,0.028414,-0.459171,0.052718,1.994135
91646.10904,0.042784,-0.463961,0.023978,1.994135
91646.1192,0.071524,-0.473541,0.047928,1.994135
91646.12952,0.047574,-0.3969,0.071878,1.994135
91646.13952,0.042784,-0.416061,0.057508,1.974585
91646.14954,0.037994,-0.411271,0.043138,1.994135
91646.1596,0.061944,-0.463961,0.028768,1.974585
91646.16957,0.066734,-0.444801,0.057508,1.974585
91646.17967,0.014044,-0.440011,0.062298,1.974585
91646.18991,0.018834,-0.440011,0.043138,1.974585
91646.20021,0.033204,-0.468751,0.033558,1.994135
91646.21008,0.071524,-0.463961,0.047928,1.994135
91646.22025,0.023624,-0.430431,0.062298,1.994135
91646.23014,0.023624,-0.425641,0.052718,1.994135
91646.24028,0.037994,-0.435221,0.038348,2.013685
91646.25052,0.071524,-0.478331,0.043138,2.013685
91646.26055,0.047574,-0.416061,0.071878,2.013685
91646.2706,0.023624,-0.425641,0.057508,2.013685
91646.2807,0.033204,-0.401691,0.023978,2.013685
91646.29088,0.085894,-0.473541,0.028768,2.013685
91646.30092,0.071524,-0.420851,0.062298,2.013685
91646.31104,0.018834,-0.416061,0.062298,2.013685
91646.32288,0.052364,-0.468751,0.014398,2.013685
91646.33116,0.090684,-0.487911,0.028768,2.033236
91646.34128,0.071524,-0.425641,0.057508,2.013685
91646.35132,0.018834,-0.416061,0.057508,2.033236
91646.36135,0.037994,-0.416061,0.038348,2.033236
91646.3715,0.071524,-0.487911,0.033558,2.013685
91646.38151,0.071524,-0.430431,0.062298,2.033236
91646.39182,0.033204,-0.406481,0.071878,2.033236
91646.40192,0.028414,-0.406481,0.033558,2.033236
91646.41371,0.076314,-0.478331,0.033558,2.033236
91646.42209,0.085894,-0.425641,0.052718,2.033236
91646.43217,0.018834,-0.406481,0.071878,2.033236
91646.44224,0.018834,-0.3969,0.043138,2.013685
91646.45222,0.090684,-0.502281,0.038348,2.013685
91646.46229,0.076314,-0.420851,0.062298,2.013685
91646.47243,0.004464,-0.401691,0.062298,2.013685
91646.48265,0.076314,-0.468751,0.009608,2.013685
91646.49271,0.095474,-0.459171,0.047928,2.013685
91646.50274,0.004464,-0.411271,0.076668,2.013685
91646.5128,0.018834,-0.37295,0.038348,2.033236
91646.52282,0.100264,-0.487911,0.023978,2.033236
91646.53296,0.090684,-0.435221,0.052718,2.033236
91646.54355,-0.005116,-0.39211,0.071878,2.033236
91646.55316,0.018834,-0.406481,0.019188,2.052786
91646.56327,0.105055,-0.483121,0.038348,2.033236
91646.57334,0.047574,-0.430431,0.071878,2.033236
91646.58339,-0.014696,-0.3969,0.076668,2.033236
91646.59354,0.042784,-0.473541,0.009608,2.013685
91646.60371,0.085894,-0.483121,0.038348,1.994135
91646.6137,0.018834,-0.449591,0.076668,2.033236
91646.62395,-0.009906,-0.36816,0.047928,2.033236
91646.63401,0.081104,-0.521441,0.019188,2.033236
91646.6442,0.095474,-0.425641,0.052718,2.052786
91646.65407,0.014044,-0.37295,0.071878,2.052786
91646.66442,0.018834,-0.411271,0.023978,2.033236
91646.67447,0.090684,-0.511861,0.014398,2.033236
91646.68467,0.047574,-0.459171,0.067088,2.033236
91646.69454,-0.019486,-0.37295,0.067088,2.033236
91646.70497,0.071524,-0.502281,0.019188,2.033236
91646.71482,0.119425,-0.468751,0.052718,2.052786
91646.72483,0.009254,-0.349,0.081458,2.052786
91646.73498,-0.009906,-0.440011,0.038348,2.033236
91646.74497,0.109845,-0.516651,0.014398,2.033236
91646.75509,0.052364,-0.430431,0.062298,2.013685
91646.76529,-0.033857,-0.39211,0.062298,2.013685
91646.77696,0.076314,-0.459171,0.014398,2.033236
91646.78536,0.132083,-0.468751,0.052715,2.013685
91646.79545,-0.006829,-0.35858,0.086245,1.994135
91646.80553,-0.002039,-0.425641,0.023975,1.994135
91646.81576,0.112922,-0.516651,0.023975,1.974585
91646.8257,0.041072,-0.444801,0.062295,1.955034
91646.83577,-0.040359,-0.33942,0.067085,1.955034
91646.84585,0.103342,-0.507071,0.009605,1.955034
91646.856,0.108132,-0.473541,0.052715,1.955034
91646.86603,-0.049939,-0.32505,0.086245,1.935484
91646.87609,0.026702,-0.463961,0.028765,1.955034
91646.88621,0.127293,-0.531022,0.043135,1.955034
91646.89646,0.002752,-0.38253,0.081455,1.935484
91646.9064,-0.011619,-0.416061,0.033555,1.935484
91646.91648,0.098552,-0.511861,0.023975,1.935484
91646.92675,0.060232,-0.444801,0.062295,1.935484
91646.93672,-0.040359,-0.349,0.071875,1.935484
91646.94693,0.098552,-0.487911,0.004815,1.915934
91646.95686,0.112922,-0.487911,0.038345,1.915934
91646.96702,-0.040359,-0.32505,0.086245,1.935484
91646.9771,0.021912,-0.468751,0.023975,1.935484
91646.98715,0.127293,-0.526232,0.043135,1.915934
91646.99723,0.021912,-0.37295,0.071875,1.915934
91647.00732,-0.030779,-0.420851,0.043135,1.896383
91647.01743,0.103342,-0.531022,0.023975,1.915934
91647.02758,0.069812,-0.430431,0.062295,1.915934
91647.03804,0.002752,-0.420851,0.019185,1.896383
91647.04783,0.088972,-0.497491,0.009605,1.896383
91647.05803,0.050652,-0.416061,0.081455,1.896383
91647.068,-0.040359,-0.33463,0.047925,1.915934
91647.07803,0.093762,-0.511861,0.014395,1.896383
91647.08809,0.084182,-0.478331,0.062295,1.896383
91647.09817,-0.045149,-0.349,0.086245,1.896383
91647.10846,0.069812,-0.497491,0.014395,1.896383
91647.11839,0.127293,-0.497491,0.043135,1.915934
91647.12873,-0.021199,-0.34421,0.076665,1.896383
91647.13965,0.002752,-0.435221,0.023975,1.876833
91647.14869,0.112922,-0.540602,0.033555,1.896383
91647.15874,0.045862,-0.420851,0.081455,1.896383
91647.16891,-0.035569,-0.33463,0.038345,1.896383
91647.17891,0.098552,-0.511861,0.009605,1.896383
91647.18905,0.088972,-0.478331,0.057505,1.876833
91647.19915,-0.040359,-0.33942,0.086245,1.896383
91647.20924,0.060232,-0.492701,0.009605,1.896383
91647.21932,0.132083,-0.521441,0.047925,1.896383
91647.22943,-0.011619,-0.349,0.076665,1.876833
91647.23961,-0.011619,-0.38732,0.023975,1.876833
